,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,distance_to_stationtotal_295,distance_closer_station_total,Region,Quantity_sold_per_day(in kg),Revenues_day,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation
1732,8268,8268,575755.1477869691,6778562.04863475,N0010,POINT (575755.1477869691 6778562.04863475),1.0,"0    37872.314948
dtype: float64",5.0,"0    34114.861127
dtype: float64",242166.37,0.0008992501105535076,309191.0528327908,38555.40854860572,Centre-Val de Loire,5989.005736286361,8983.508604429542,2185987.0937445215,0,0,0,1,large,3278980.640616783,3068980.640616783,210000.0,1868980.640616783,-1200000.0,2030
1733,5877,5877,618101.8459774593,6688854.941272854,A0085,POINT (618101.8459774593 6688854.941272854),1.0,"0    27103.315391
dtype: float64",5.0,"0    26665.663062
dtype: float64",31688.28,0.00011766988658768145,379678.6141519641,19495.04872855544,Centre-Val de Loire,783.6814446739585,1175.5221670109377,286043.72730599483,1,0,0,0,small,429065.59095899225,0.0,0.0,0.0,0.0,2035
1734,5109,5109,617683.5425752002,6732902.0271803085,A0071,POINT (617683.5425752002 6732902.0271803085),1.0,"0    13622.327708
dtype: float64",5.0,"0    13558.290337
dtype: float64",100939.93,0.0003748259645291099,337201.644281801,24549.988780485022,Centre-Val de Loire,2496.340923763872,3744.5113856458083,911164.4371738133,0,0,0,1,large,1366746.6557607201,1156746.6557607201,210000.0,-43253.34423927986,-1200000.0,2033
1735,8502,8502,591859.9414528526,6852800.94274855,N0012,POINT (591859.9414528526 6852800.94274855),1.0,"0    10046.554021
dtype: float64",5.0,"0    4860.74926
dtype: float64",249824.07,0.0009276858820918331,235933.6563232261,17599.960094216152,Centre-Val de Loire,6178.387974731609,9267.581962097413,2255111.610777037,0,0,0,1,large,3382667.4161655554,3172667.4161655554,210000.0,1972667.4161655554,-1200000.0,2030
1736,868,868,845236.9234383455,6608793.542639466,A0006,POINT (845236.9234383455 6608793.542639466),1.0,"0    19575.290309
dtype: float64",5.0,"0    17529.107533
dtype: float64",356928.98,0.0013254046163583767,468750.0540625776,1020.1745250863092,Bourgogne-Franche-Comté,8827.19474494679,13240.792117420184,3221926.0819055783,0,0,0,1,large,4832889.122858367,4622889.122858367,210000.0,3422889.122858367,-1200000.0,2030
1737,13331,13331,853882.5582756165,6697366.344782352,N0274,POINT (853882.5582756165 6697366.3447823515),1.0,"0    2296.24516
dtype: float64",5.0,"0    447.681006
dtype: float64",70216.68,0.0002607395785496568,387976.851304838,831.3966549287288,Bourgogne-Franche-Comté,1736.5255931407144,2604.7883897110714,633831.8414963607,1,0,0,0,small,950747.7622445411,0.0,0.0,0.0,0.0,2035
1738,592,592,742457.0550630363,6793790.279921099,A0005,POINT (742457.0550630363 6793790.279921099),1.0,"0    27660.368031
dtype: float64",5.0,"0    19351.194783
dtype: float64",52949.71,0.00019662115995410992,265692.5668488413,33389.946309778694,Bourgogne-Franche-Comté,1309.496925294372,1964.245387941558,477966.3777324458,1,0,0,0,small,716949.5665986687,0.0,0.0,0.0,0.0,2035
1739,5548,5548,700263.8409866263,6680234.108214755,A0077,POINT (700263.8409866263 6680234.108214755),1.0,"0    48921.433414
dtype: float64",5.0,"0    21593.207513
dtype: float64",39255.05,0.00014576800260202716,377284.8301540005,56000.9300104975,Bourgogne-Franche-Comté,970.8148973295009,1456.2223459942513,354347.43752526783,1,0,0,0,small,531521.1562879017,0.0,0.0,0.0,0.0,2035
1740,10543,10543,917780.6971028128,6661940.68512807,N0083,POINT (917780.6971028128 6661940.68512807),1.0,"0    24744.651504
dtype: float64",5.0,"0    22500.940838
dtype: float64",0.0,0.0,447041.9228583874,8311.103274600538,Bourgogne-Franche-Comté,0.0,0.0,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
1741,10543,10543,917780.6971028128,6661940.68512807,N0083,POINT (917780.6971028128 6661940.68512807),1.0,"0    24744.651504
dtype: float64",5.0,"0    22500.940838
dtype: float64",0.0,0.0,447041.9228583874,8311.103274600538,Bourgogne-Franche-Comté,0.0,0.0,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
